"","GSM15785","GSM15786","GSM15787","GSM15788","GSM15789","GSM15790","GSM15791","GSM15792","GSM15794","GSM15795"
"200060_s_at",271.0325167488,-261.918257168889,-264.231055782342,-157.048901991694,-113.495692213805,-60.820957103697,141.805638940799,-460.958883582418,55.5112570490963,-3.65580197825294
"200061_s_at",203.23732245894,-157.198536738092,-176.916879278386,-68.5060988963191,-65.8303322539329,-94.0545273338848,-138.853846385811,110.19304633035,43.1728627706802,-5.58183329600259
"200062_s_at",546.096784599492,-578.306963165489,-544.64240758084,-286.598842987292,-116.272226685612,-337.099708735787,-94.613716572509,-272.201630134856,58.2414847797785,-35.0192278445572
"200063_s_at",376.015069899397,-310.164813524701,-327.826961779636,-172.213997237889,-71.2946665324373,-150.899527293209,-71.1846906379339,-137.408141238158,69.2204951521263,-26.2869844492441
"200064_at",294.656830511323,-306.508877677915,-306.656324597556,-223.115599305307,-126.611497806626,-98.6154684377909,120.917185028309,-497.539897867638,55.3301247260136,4.68027147707496
"200065_s_at",405.207516201621,-396.867400375141,-395.725357017966,-164.274456395674,-115.125413181959,-227.925614978333,-68.1684191239657,-134.467490898728,89.8541239451173,1.75074210691076
"200066_at",302.38328924408,-267.045570195435,-281.466068397261,-153.498045687198,-79.2620550827112,-114.729191655243,19.0565766118394,-244.831228547219,45.1378926534677,17.958740471219
"200067_x_at",454.457064560142,-447.190809286589,-369.776164854508,-197.863187501768,-89.098255619398,-303.708711397471,-225.845504833214,117.265591089291,85.3330813256574,-1.38377521781359
"200068_s_at",458.437251590887,-462.529437062396,-429.863120097146,-189.915826808824,-70.4939110118204,-312.87360825664,-222.758851918519,78.3361182604335,81.7717084359093,-32.2869020995285
"200069_at",250.960584725817,-213.645903024141,-170.184458739324,-84.6145601627069,-83.3443111724972,-125.715567220359,-96.2815335591379,55.0080172879426,46.1386679675071,4.46439307532754
"200070_at",317.967099493747,-275.766698064644,-275.47352911727,-130.694193772831,-87.6358017746293,-125.233552282445,-33.2965339124125,-153.178123929637,50.00740114596,18.1638414571264
"200071_at",479.249135499753,-469.097112607831,-448.196243866075,-203.551872297612,-92.6459718027347,-276.372901770701,-178.486917713801,-74.515696598797,93.5846457804053,-14.8157168360593
"200072_s_at",404.124872394337,-401.857981383804,-375.581248922947,-188.103569327506,-43.8371019953252,-235.487662798488,-137.90946750618,-23.4071045832216,65.2340512368908,12.8877735109559
"200073_s_at",359.264896602434,-333.231375742499,-329.23227092279,-185.444357545269,-108.418880264075,-147.710850579178,-1.17718887476627,-277.719382154221,55.1747711386491,-8.78353593407238
"200074_s_at",245.817024200645,-276.476645101914,-253.664831346861,-122.276162652912,-83.4336432766181,-79.5898234872112,3.64970328921011,-180.564174873223,51.5093126752693,-28.977494305866
"200075_s_at",450.101486215147,-458.335957188372,-449.468377947283,-192.869870820379,-90.6798379761462,-272.760643665725,-102.180858492766,-167.034058098522,60.9508328702736,1.469331594441
"200076_s_at",322.729209479079,-318.782783707567,-327.672461797427,-205.725956765443,-100.765672914423,-149.150828187255,69.3009537097475,-394.545672863909,67.185503233659,4.0837598872431
"200077_s_at",362.710660397801,-350.260130048027,-388.454772665319,-180.245789845834,-95.7758107710113,-251.567110574409,-127.643557451889,-46.273903045161,52.4372275277485,-9.05983808437852
